0070299f arg_is_not_integer_QnaN
007029c3 positive
007029db integer_QnaN_or_zero
007029ef localexit
00702a10 MORE32_0
00702a1a RETZERO_0
00702cc9 hard
00702f22 D3DXAssembleShader
00702f28 D3DXMatrixPerspectiveOffCenterLH
00702f2e D3DXMatrixOrthoOffCenterLH
00702f70 pure3d::d3dDevice::dtor
00703310 d3dDevice::NewDisplay
00703360 d3dDevice::NewRenderContext
007033a0 d3dDevice::NewTexture
00703460 d3dDevice::NewPrimBuffer
00703540 d3dDevice::NewShader
00703560 pure3d::d3dDevice::ctor
00703610 pddiPrimBuffer::dtor
00703690 d3dPrimBufferStream::SetBasePtr
007037b0 pure3d::d3dPrimBufferStream::NextVertex
00703850 pure3d::d3dPrimBuffer::dtor
007038d0 d3dPrimBuffer::SetNumVertices
00703980 d3dPrimBuffer::SetNumIndices
00703a00 d3dPrimBuffer::Lock
00703a90 d3dPrimBuffer::Unlock
00703ae0 d3dPrimBuffer::LockIndexBuffer
00703b10 d3dPrimBuffer::UnlockIndexBuffer
00703b30 d3dPrimBuffer::CheckMemImageVersion
00703b40 d3dPrimBuffer::LockMemImage
00703b80 d3dPrimBuffer::UnlockMemImage
00703bc0 d3dPrimBuffer::SetIndexBuffer
00703c60 d3dPrimBuffer::Display
00703de0 pure3d::d3dPrimBufferStream::CheckThing
00703f80 pure3d::d3dPrimBuffer::ctor
00703ff0 d3dPrimBuffer::Create
00704070 pure3d::d3dPrimBufferStream::Position
007040a0 pure3d::d3dPrimBufferStream::Normal
007041b0 pure3d::d3dPrimBufferStream::Colour
007041e0 pure3d::d3dPrimBufferStream::TexCoord2
00704210 pure3d::d3dPrimBufferStream::Specular
00704230 pure3d::d3dPrimBufferStream::Binormal
00704260 pure3d::d3dPrimBufferStream::Tangent
00704290 pure3d::d3dPrimBufferStream::DeformedPosition
007042c0 pure3d::d3dPrimBufferStream::DeformedNormal
007042f0 pure3d::d3dPrimBufferStream::SkinIndices
00704330 pure3d::d3dPrimBufferStream::SkinWeights
00704360 pure3d::d3dPrimBufferStream::Vertex_3
007043a0 pure3d::d3dPrimBufferStream::Vertex_2
