# addr size bucket subsystem class how
00408e40    210 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00408f20    364 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
00409090     91 LEAK           gameobject/fighttree               NISSwapModelAction                                 callers
00409130     27 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
00409150      4 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
00409160     30 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             callers
00409180     32 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
004091a0     30 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004091c0    157 LEAK           gameobject/stateprop               GameObjectMover                                    callers
00409260     33 LEAK           gameobject/fighttree               NISCharacterAttachAction                           callers
00409290     41 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004092c0     12 LEAK           gameobject/template                MainCharacterTemplate                              callers
004092d0     77 LEAK           gameobject/fighttree               NISCharacterEffectAction                           callers
00409360     29 LEAK           gameobject/template                (nearby)                                           layout-weak
00409380    741 LEAK           gameobject/template                MainCharacterTemplate                              callers
00409670     45 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
004096a0     39 MISSING-ENGINE lib/fight                          JointCollisionTrack                                callers
004096d0    389 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
00409860    553 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
00409a90    559 MISSING-ENGINE engine/nis                         NISManager                                         callers
00409ce0      9 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
00409cf0      9 SHR-DERIVED    atg/pure3d                         pure3d::prop::StatePropData                        callers
00409d00    203 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
00409dd0    203 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
00409ea0    129 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
00409f30    160 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
00409fd0     51 LEAK           gameobject/stateprop               MortarObject                                       callers
0040a010    262 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
0040a120    116 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
0040a1a0    244 LEAK           gameobject/template                (nearby)                                           layout-weak
0040a2a0     30 LEAK           gameobject/template                (nearby)                                           layout-weak
0040a2c0     84 LEAK           gameobject/template                MainCharacterTemplate                              callers
0040a320      8 LEAK           gameobject/template                MainCharacterTemplate                              callers
0040a330     58 LEAK           gameobject/template                MainCharacterTemplate                              callers
0040a370    139 LEAK           gameobject/template                MainCharacterTemplate                              callers
0040a400     67 LEAK           gameobject/template                MainCharacterTemplate                              callers
0040a450     49 MISSING-ENGINE game                               CVManager                                          callers
0040a490      8 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> callers
0040a4a0     23 MISSING-ENGINE engine/weapon                      WeaponStreamingClient                              callers
0040a4c0     16 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
0040a4d0     22 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> callers
0040a4f0     19 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> between
0040a510     21 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> callers
0040a530      5 SHR-DERIVED    atg/pure3d                         (module-range)                                     layout
0040a540     55 SHR-DERIVED    atg/pure3d                         (module-range)                                     layout
